year,team_id,team_name,wins,losses,ties,total_games
2016,3,Adelphi,14,5,1,20
2016,14,Albany (NY),19,2,0,21
2016,16,Albright,12,9,0,21
2016,938,Alvernia,12,7,0,19
2016,23,American,12,7,0,19
2016,22,American Int'l,4,14,0,18
2016,24,Amherst,12,5,0,17
2016,26,Anna Maria,12,7,0,19
2016,27,Appalachian St.,4,13,0,17
2016,966,Arcadia,8,11,0,19
2016,36,Assumption,14,6,0,20
2016,45,Babson,17,3,0,20
2016,47,Ball St.,2,16,0,18
2016,50,Bates,7,9,0,16
2016,26520,Bay Path,4,10,0,14
2016,26107,Becker,11,11,0,22
2016,52,Bellarmine,10,7,0,17
2016,56,Bentley,9,9,0,18
2016,59,Bethany (WV),7,12,0,19
2016,65,Bloomsburg,10,10,0,20
2016,67,Boston College,12,8,0,20
2016,68,Boston U.,14,6,0,20
2016,69,Bowdoin,18,0,0,18
2016,75,Bridgewater (VA),12,8,0,20
2016,76,Bridgewater St.,8,11,0,19
2016,78,Brockport,2,16,0,18
2016,80,Brown,7,10,0,17
2016,81,Bryant,3,16,0,19
2016,82,Bryn Mawr,0,12,0,12
2016,83,Bucknell,8,11,0,19
2016,88,Cabrini,12,8,0,20
2016,107,California,9,10,0,19
2016,123,Castleton,4,12,0,16
2016,124,Catholic,13,6,0,19
2016,14795,Cedar Crest,2,15,0,17
2016,129,Central Mich.,2,15,0,17
2016,132,Centre,10,6,0,16
2016,139,Chris. Newport,13,4,0,17
2016,145,Clark (MA),5,12,0,17
2016,151,Colby,7,8,0,15
2016,152,Colby-Sawyer,8,9,0,17
2016,153,Colgate,0,15,0,15
2016,158,Columbia,9,8,0,17
2016,163,Connecticut Col.,5,10,0,15
2016,167,Cornell,11,6,0,17
2016,2691,Daniel Webster,0,14,0,14
2016,172,Dartmouth,7,10,0,17
2016,173,Davidson,8,11,0,19
2016,180,Delaware,16,5,0,21
2016,179,Delaware Valley,6,12,0,18
2016,182,Denison,12,8,0,20
2016,177,DePauw,15,4,0,19
2016,20,DeSales,3,15,0,18
2016,185,Dickinson,12,7,0,19
2016,2692,Dowling,6,11,0,17
2016,190,Drew,4,13,0,17
2016,191,Drexel,8,11,0,19
2016,193,Duke,12,6,0,18
2016,195,Earlham,4,13,0,17
2016,197,East Stroudsburg,17,3,0,20
2016,203,East. Mennonite,3,14,0,17
2016,8968,Eastern,13,5,0,18
2016,200,Eastern Conn. St.,13,7,0,20
2016,211,Elizabethtown,11,7,0,18
2016,213,Elmira,5,12,0,17
2016,532,Elms,5,16,0,21
2016,8981,Endicott,11,10,0,21
2016,220,Fairfield,9,9,0,18
2016,221,FDU-Florham,14,7,0,21
2016,225,Ferrum,2,16,0,18
2016,227,Fitchburg St.,11,9,0,20
2016,238,Framingham St.,4,14,0,18
